# This text file represents an airfoil's polar(s) (coefficients) that can be imported into Ashes.
# One or more polars can be imported. Each polar is given for a particular Reynolds number (Re).
# Thus, polars for more than one Reynolds numbers can be given in this file.

# Formatting rules (conventions): 
#  - the keyword 'Airfoil name' must be found in the file and the airfoil name must be given 
# on the line immediately after the line with (only) the keyword (except for comment lines).
#  - the airfoil database cannot already have an airfoil with this name (the comparison is made not considering case nor whitespace).
#  - if the name is already found in the airfoil database, an error message will be given and the file is not imported.
#  - the keyword 'Re and corresponding polar' must preceed each Reynolds number and corresponding polar data set.
#  - the first (non-comment) line after the keyword must contain only the Reynolds number.
#  - each preceding line must contain (and in this order) the angle of attack (AoA) in degrees, the lift coefficient,
# the drag coefficient, and finally the moment coefficient.
#  - the moment coefficient is referenced to the quarter chord point (as per convention).
#  - the angle of attack (AoA) must be strictly increasing.
#  - the coefficients cannot be negative and must be smaller than 5 (in order to catch typos).
#  - blank lines between the keyword and the data is NOT allowed nor are blank lines within the 'block of data.
#  - a polar for a Reynolds number can only be given once.
#  - if the Reynolds number corresponding to a polar is unknown, 0 or a negative number is given.
#  - if there is a polar with an unknown Reynolds number, then there can be no other polar in the file.

Airfoil name
naca0024

Re and corresponding polar
# Reynolds number (-)
50000
# Corresponding polar
# AoA 	Cl 	Cd 	Cm
# (deg) 	(-) 	(-) 	(-)
-7     -0.9421     0.03191      0.0218
-6.75     -0.9108     0.03157      0.0207
-6.5     -0.8664     0.03137      0.0171
-6.25     -0.8391     0.03105      0.0168
-6      -0.794     0.03082      0.0134
-5.75     -0.7679     0.03053      0.0134
-5.5     -0.7245     0.03028      0.0104
-5.25      -0.695     0.03001        0.01
-5     -0.6561     0.02974       0.008
-4.75     -0.6006     0.02933      0.0031
-4.5     -0.5864     0.02919      0.0055
-4.25     -0.5335     0.02873      0.0013
-4     -0.5082     0.02851      0.0018
-3.75     -0.4679     0.02812           0
-3.5     -0.4239     0.02753     -0.0024
-3.25     -0.4013     0.02748     -0.0011
-3     -0.3626     0.02696     -0.0024
-2.75      -0.327     0.02671     -0.0032
-2.5     -0.3014     0.02641     -0.0024
-2.25     -0.2529     0.02589      -0.005
-2     -0.2404     0.02591     -0.0021
-1.75     -0.1964     0.02545      -0.004
-1.5     -0.1793     0.02547     -0.0018
-1.25     -0.1402     0.02511     -0.0029
-1     -0.1188     0.02512     -0.0013
-0.75     -0.0841     0.02488     -0.0017
-0.5     -0.0592     0.02491     -0.0007
-0.25      -0.028     0.02476     -0.0006
0           0     0.02484           0
0.25       0.028     0.02476      0.0006
0.5      0.0592     0.02491      0.0007
0.75      0.0841     0.02488      0.0017
1      0.1188     0.02512      0.0013
1.25      0.1402     0.02511      0.0029
1.5      0.1793     0.02547      0.0018
1.75      0.1964     0.02545       0.004
2      0.2404     0.02591      0.0021
2.25      0.2529     0.02589       0.005
2.5      0.3014     0.02641      0.0024
2.75      0.3269      0.0267      0.0032
3      0.3626     0.02696      0.0025
3.25      0.4012     0.02748      0.0011
3.5      0.4238     0.02753      0.0024
3.75      0.4679     0.02812           0
4       0.508      0.0285     -0.0018
4.25      0.5335     0.02873     -0.0013
4.5      0.5863     0.02919     -0.0055
4.75      0.6006     0.02933     -0.0031
5      0.6561     0.02974      -0.008
5.25      0.6947        0.03     -0.0099
5.5      0.7245     0.03027     -0.0105
5.75      0.7677     0.03052     -0.0134
6      0.7941     0.03081     -0.0134
6.25       0.839     0.03104     -0.0168
6.5      0.8665     0.03136     -0.0172
6.75      0.9108     0.03156     -0.0207
7      0.9423      0.0319     -0.0219
7.25      0.9848     0.03207     -0.0252
7.5       1.021     0.03241     -0.0275
7.75      1.0621     0.03257     -0.0307
8      1.1026     0.03289     -0.0339
8.25      1.1386     0.03312     -0.0364
8.5      1.1571     0.03335     -0.0354
8.75      1.1506     0.03405     -0.0306
9      1.1566     0.03438     -0.0275
9.25      1.1793     0.03458      -0.027
9.5      1.1649     0.03542     -0.0209
9.75      1.1626     0.03595     -0.0166
10       1.1823      0.03609      -0.0154
10.25       1.1752      0.03689      -0.0104
10.5       1.1583      0.03769      -0.0039
10.75       1.1571      0.03815       0.0004
11       1.1895       0.0384      -0.0004
11.25        1.156      0.03939       0.0086
11.5       1.1238      0.04018       0.0174
11.75       1.1071      0.04091       0.0237
12       1.1684      0.04095       0.0189
12.25       1.1244      0.04218       0.0287
12.5       1.0881      0.04388       0.0363
12.75        1.069      0.04548       0.0411
13        1.112       0.0451       0.0399
13.25       1.1001      0.04691       0.0436
13.5       1.0508      0.05053       0.0494
13.75       1.0028      0.05515        0.053
14       1.0307      0.05503       0.0534
14.25       1.0674      0.05483       0.0533
14.5       0.4349      0.15759       0.0228
14.75       0.3756      0.15997       0.0189

Re and corresponding polar
# Reynolds number (-)
200000
# Corresponding polar
# AoA 	Cl 	Cd 	Cm
# (deg) 	(-) 	(-) 	(-)
-19.75      -1.2026      0.08451      -0.0536
-19.5      -1.1773      0.08485      -0.0531
-19.25      -1.1728       0.0825      -0.0538
-19      -1.1838      0.07823      -0.0552
-18.75      -1.2059      0.07277      -0.0568
-18.5      -1.1994      0.07079       -0.057
-18.25       -1.186      0.06961      -0.0571
-18      -1.1845      0.06706      -0.0575
-17.75      -1.1934      0.06344      -0.0582
-17.5      -1.2041      0.05978      -0.0587
-17.25      -1.1847      0.05922      -0.0584
-17      -1.1786      0.05734      -0.0584
-16.75      -1.1804      0.05473      -0.0585
-16.5      -1.1905       0.0515      -0.0584
-16.25      -1.1721      0.05078       -0.058
-16      -1.1645      0.04922      -0.0577
-15.75      -1.1632      0.04716      -0.0573
-15.5      -1.1694      0.04464      -0.0566
-15.25      -1.1514      0.04388      -0.0561
-15       -1.144       0.0425      -0.0554
-14.75       -1.142      0.04078      -0.0545
-14.5      -1.1415      0.03904      -0.0532
-14.25      -1.1265       0.0382      -0.0525
-14      -1.1203      0.03698      -0.0513
-13.75      -1.1193      0.03556      -0.0496
-13.5      -1.1104      0.03451      -0.0481
-13.25      -1.1021      0.03361      -0.0465
-13      -1.0993      0.03261      -0.0443
-12.75      -1.1029      0.03154      -0.0412
-12.5      -1.0909      0.03087      -0.0394
-12.25      -1.0888      0.03016      -0.0364
-12      -1.0916      0.02945      -0.0327
-11.75      -1.0954      0.02879      -0.0286
-11.5      -1.0918      0.02829      -0.0253
-11.25      -1.0971      0.02784      -0.0206
-11      -1.1065      0.02742      -0.0153
-10.75      -1.1174      0.02704      -0.0096
-10.5      -1.1189      0.02666      -0.0053
-10.25      -1.1294       0.0264       0.0004
-10      -1.1149      0.02596       0.0016
-9.75     -1.0804     0.02541     -0.0007
-9.5     -1.0517     0.02496     -0.0019
-9.25     -1.0195     0.02444     -0.0036
-9     -0.9827     0.02402     -0.0061
-8.75      -0.959     0.02358      -0.006
-8.5     -0.9197     0.02305     -0.0088
-8.25     -0.8881     0.02263     -0.0101
-8     -0.8549      0.0221     -0.0115
-7.75     -0.8158     0.02163     -0.0141
-7.5     -0.7698     0.02103      -0.018
-7.25     -0.7497     0.02073     -0.0167
-7     -0.7109     0.02018      -0.019
-6.75     -0.6721      0.0197     -0.0212
-6.5     -0.6547      0.0194     -0.0192
-6.25     -0.6199     0.01893     -0.0204
-5.75     -0.5699     0.01823      -0.019
-5.5     -0.5468     0.01797     -0.0179
-5.25     -0.5211     0.01761     -0.0172
-5     -0.4948     0.01732     -0.0167
-4.75     -0.4731     0.01708     -0.0153
-4.5     -0.4451     0.01679      -0.015
-4.25     -0.4258     0.01665     -0.0131
-4     -0.3965     0.01635     -0.0131
-3.75     -0.3759     0.01624     -0.0115
-3.5     -0.3481       0.016     -0.0112
-3.25     -0.3258     0.01589     -0.0099
-3     -0.2996     0.01572     -0.0094
-2.75     -0.2757     0.01561     -0.0084
-2.5     -0.2509     0.01551     -0.0076
-2.25     -0.2256     0.01539     -0.0068
-2      -0.202     0.01535     -0.0058
-1.75     -0.1754     0.01523     -0.0053
-1.5     -0.1516     0.01521     -0.0043
-1.25     -0.1253      0.0151     -0.0038
-1      -0.101      0.0151     -0.0029
-0.75     -0.0751     0.01503     -0.0023
-0.5     -0.0505     0.01504     -0.0014
-0.25      -0.025     0.01499     -0.0008
0           0     0.01502           0
0.25      0.0251     0.01499      0.0008
0.5      0.0505     0.01504      0.0014
0.75      0.0751     0.01503      0.0023
1      0.1011      0.0151      0.0029
1.25      0.1253      0.0151      0.0038
1.5      0.1517     0.01521      0.0043
1.75      0.1755     0.01523      0.0053
2       0.202     0.01535      0.0058
2.25      0.2257     0.01539      0.0068
2.5      0.2509     0.01551      0.0075
2.75      0.2758     0.01561      0.0083
3      0.2996     0.01572      0.0093
