# This text file represents an airfoil's polar(s) (coefficients) that can be imported into Ashes.
# One or more polars can be imported. Each polar is given for a particular Reynolds number (Re).
# Thus, polars for more than one Reynolds numbers can be given in this file.

# Formatting rules (conventions): 
#  - the keyword 'Airfoil name' must be found in the file and the airfoil name must be given 
# on the line immediately after the line with (only) the keyword (except for comment lines).
#  - the airfoil database cannot already have an airfoil with this name (the comparison is made not considering case nor whitespace).
#  - if the name is already found in the airfoil database, an error message will be given and the file is not imported.
#  - the keyword 'Re and corresponding polar' must preceed each Reynolds number and corresponding polar data set.
#  - the first (non-comment) line after the keyword must contain only the Reynolds number.
#  - each preceding line must contain (and in this order) the angle of attack (AoA) in degrees, the lift coefficient,
# the drag coefficient, and finally the moment coefficient.
#  - the moment coefficient is referenced to the quarter chord point (as per convention).
#  - the angle of attack (AoA) must be strictly increasing.
#  - the coefficients cannot be negative and must be smaller than 5 (in order to catch typos).
#  - blank lines between the keyword and the data is NOT allowed nor are blank lines within the 'block of data.
#  - a polar for a Reynolds number can only be given once.
#  - if the Reynolds number corresponding to a polar is unknown, 0 or a negative number is given.
#  - if there is a polar with an unknown Reynolds number, then there can be no other polar in the file.

Airfoil name
naca2424

Re and corresponding polar
# Reynolds number (-)
50000
# Corresponding polar
# AoA 	Cl 	Cd 	Cm
# (deg) 	(-) 	(-) 	(-)
-9.25     -0.2536      0.1352     -0.0033
-9     -0.3179     0.13792      0.0017
-8     -0.4121     0.11815      0.0014
-7.75     -0.4006     0.11663      0.0027
-7.5     -0.3803     0.12088      0.0076
-7.25     -0.4446     0.10823      0.0039
-7     -0.6371     0.08663      0.0041
-6.75     -0.8439     0.07037      0.0191
-6.5      -0.927     0.06365      0.0295
-6.25     -0.9857      0.0586      0.0387
-6     -0.9574     0.05917      0.0387
-5.75     -0.9549     0.05829      0.0415
-5.5     -0.9818     0.05536      0.0477
-5.25     -0.9833     0.05396      0.0511
-5     -0.9688     0.05389      0.0526
-4.75     -0.9788     0.05216      0.0571
-4.5     -0.9765     0.05111      0.0601
-4.25     -0.9641     0.05092      0.0618
-4     -0.9722     0.04943      0.0663
-3.75      -0.958     0.04921      0.0677
-3.5     -0.9503     0.04879        0.07
-3.25     -0.9397     0.04844      0.0716
-3     -0.9135     0.04935      0.0708
-2.75     -0.9049     0.04887      0.0728
-2.5     -0.8731     0.05037       0.071
-2.25     -0.7203     0.05336      0.0515
-2      -0.707      0.0535      0.0532
-1.75     -0.6715     0.05416      0.0518
-1.5     -0.6763     0.05389      0.0561
-1.25     -0.6662     0.05406      0.0581
-1     -0.6269     0.05489      0.0562
-0.75     -0.6268     0.05507      0.0595
-0.5     -0.6176     0.05553      0.0614
-0.25      -0.605     0.05617       0.063
1.25     -0.3957     0.06269      0.0521
1.5     -0.3591     0.06514      0.0475
1.75     -0.2887     0.06802      0.0387
2     -0.2489     0.07118       0.033
2.25     -0.1363     0.07368      0.0212
2.5     -0.0602     0.07667      0.0119
2.75      0.0276     0.07895      0.0017
3      0.0542     0.08159     -0.0027
3.25      0.0205     0.08694     -0.0039
3.5      0.0079     0.09212     -0.0078
3.75      0.1046     0.09712     -0.0223
4      0.1223     0.09838     -0.0269
4.25      0.1331     0.09874     -0.0272
4.5      0.1362     0.09996     -0.0262
4.75      0.0962     0.09803     -0.0197
5      0.0976     0.09819     -0.0176
5.25      0.1154     0.10062     -0.0176
5.5       0.079      0.0988     -0.0111
5.75      0.0968      0.1004     -0.0107
6      0.0993     0.10222     -0.0091
6.25      0.0907       0.102     -0.0059
6.5      0.1312     0.10619     -0.0081
6.75      0.0987     0.10489     -0.0029
7      0.1226     0.10716     -0.0032
7.25      0.1296      0.1096     -0.0024
7.5      0.1241     0.10977           0
7.75      0.1674     0.11453     -0.0023
8      0.1362     0.11335       0.002
8.25       0.159     0.11582      0.0017
8.5      0.1721     0.11896      0.0018
8.75      0.1636     0.11897       0.004
9      0.2008     0.12335      0.0025
9.25      0.1778     0.12313      0.0052
9.5      0.1951     0.12531      0.0053
9.75      0.2297     0.13057      0.0038
10       0.2017      0.12906       0.0068
10.25       0.2292      0.13239       0.0061

Re and corresponding polar
# Reynolds number (-)
100000
# Corresponding polar
# AoA 	Cl 	Cd 	Cm
# (deg) 	(-) 	(-) 	(-)
-13.75      -0.7964      0.07244       -0.068
-13.5      -0.8535      0.06598      -0.0663
-13.25      -0.8988      0.06163      -0.0632
-13      -0.9552      0.05746      -0.0584
-12.75      -0.9889      0.05514      -0.0535
-12.5      -1.0261      0.05302      -0.0477
-12.25      -1.0666      0.05114      -0.0407
-12      -1.1075      0.04959      -0.0327
-11.75      -1.1488      0.04839      -0.0238
-11.5      -1.1879      0.04725      -0.0148
-11.25      -1.2216      0.04595      -0.0065
-11      -1.1894      0.04561      -0.0075
-10.75      -1.1895      0.04512      -0.0038
-10.5      -1.1694      0.04436      -0.0044
-10.25      -1.1485      0.04332      -0.0047
-10      -1.1049      0.04327      -0.0081
-9.75     -1.0916     0.04244     -0.0069
-9.5      -1.071     0.04157     -0.0066
-9.25     -1.0316     0.04145     -0.0092
-9     -1.0243     0.04068     -0.0065
-8.75      -0.987     0.04008     -0.0088
-8.5     -0.9682     0.03976     -0.0076
-8.25     -0.9494      0.0391     -0.0067
-8     -0.9253     0.03863     -0.0065
-7.75     -0.8946     0.03832     -0.0072
-7.5     -0.8846     0.03774     -0.0045
-7.25     -0.8534      0.0374     -0.0053
-7      -0.819     0.03693     -0.0066
-6.75     -0.8152     0.03652     -0.0027
-6.5      -0.779     0.03624     -0.0042
-6.25     -0.7486     0.03564     -0.0045
-6     -0.7406     0.03551     -0.0014
-5.75     -0.7069     0.03511     -0.0022
-5.5      -0.663     0.03442     -0.0048
-5.25      -0.668     0.03458      0.0006
-4.75      -0.584     0.03332     -0.0035
-4.5     -0.6017      0.0337       0.004
-4.25     -0.5589     0.03302      0.0019
-4     -0.5548      0.0332      0.0058
-3.75     -0.5314     0.03282      0.0068
-3.5     -0.4884     0.03217      0.0049
-3.25     -0.4941     0.03257      0.0103
-3     -0.4616      0.0322        0.01
-2.75     -0.4175     0.03138      0.0081
-2.5     -0.3937     0.03113      0.0092
-1.75     -0.3535     0.03146      0.0169
-1.5     -0.3407     0.03144      0.0198
-1.25     -0.2908     0.03051      0.0173
-1     -0.2377     0.02945      0.0143
-0.75     -0.2794     0.03132      0.0246
-0.5      -0.231     0.03035      0.0225
-0.25     -0.1782     0.02934      0.0197
0     -0.1672     0.02961      0.0227
0.25      -0.035     0.02704      0.0073
0.5     -0.1205     0.02944      0.0254
0.75     -0.0502     0.02822      0.0198
1      0.0412     0.02701      0.0102
1.5      0.0521      0.0283       0.018
1.75      0.1897     0.02719      0.0003
2      0.0951     0.02937      0.0202
2.25      0.2582     0.02835     -0.0016
2.5      0.4055     0.02784     -0.0218
2.75      0.4419     0.02911     -0.0235
3      0.5513     0.02916     -0.0373
3.25      0.5801     0.02967     -0.0372
3.5      0.6374      0.0303     -0.0422
3.75      0.7218     0.03029     -0.0518
4      0.7228     0.03112     -0.0472
4.25      0.7989     0.03099     -0.0555
4.75      0.8436     0.03188     -0.0541
5      0.9185     0.03183     -0.0626
5.25      0.9311     0.03239     -0.0605
5.5      1.0118     0.03196       -0.07
5.75      1.0217      0.0326     -0.0678
6       1.073     0.03242     -0.0723
6.25      1.1134     0.03258     -0.0756
6.5      1.1616     0.03232       -0.08
6.75      1.1907     0.03234      -0.081
7      1.1622     0.03296     -0.0722
7.25       1.163     0.03307     -0.0681
7.5      1.1952     0.03299     -0.0691
7.75      1.1505     0.03378     -0.0576
8      1.1216     0.03418     -0.0484
8.25      1.1827     0.03383      -0.054
8.5      1.1392     0.03449     -0.0425
8.75      1.0895     0.03534     -0.0303
9      1.0832     0.03571      -0.025
9.25      1.1395     0.03534     -0.0292
9.5        1.08     0.03679     -0.0162
9.75      1.0573     0.03784     -0.0092
10       1.1464      0.03652      -0.0174
10.25       1.0795      0.03865      -0.0044
10.5       1.0449      0.04053       0.0033
10.75       1.1247      0.03876      -0.0025
11       1.0817      0.04105        0.006
11.25       1.0293      0.04427       0.0142
11.5       1.0988       0.0422       0.0107
11.75       1.0843      0.04404        0.015
12       0.8048      0.06653         0.03
12.25       1.0608      0.04753       0.0222
