# This text file represents an airfoil's polar(s) (coefficients) that can be imported into Ashes.
# One or more polars can be imported. Each polar is given for a particular Reynolds number (Re).
# Thus, polars for more than one Reynolds numbers can be given in this file.

# Formatting rules (conventions): 
#  - the keyword 'Airfoil name' must be found in the file and the airfoil name must be given 
# on the line immediately after the line with (only) the keyword (except for comment lines).
#  - the airfoil database cannot already have an airfoil with this name (the comparison is made not considering case nor whitespace).
#  - if the name is already found in the airfoil database, an error message will be given and the file is not imported.
#  - the keyword 'Re and corresponding polar' must preceed each Reynolds number and corresponding polar data set.
#  - the first (non-comment) line after the keyword must contain only the Reynolds number.
#  - each preceding line must contain (and in this order) the angle of attack (AoA) in degrees, the lift coefficient,
# the drag coefficient, and finally the moment coefficient.
#  - the moment coefficient is referenced to the quarter chord point (as per convention).
#  - the angle of attack (AoA) must be strictly increasing.
#  - the coefficients cannot be negative and must be smaller than 5 (in order to catch typos).
#  - blank lines between the keyword and the data is NOT allowed nor are blank lines within the 'block of data.
#  - a polar for a Reynolds number can only be given once.
#  - if the Reynolds number corresponding to a polar is unknown, 0 or a negative number is given.
#  - if there is a polar with an unknown Reynolds number, then there can be no other polar in the file.

Airfoil name
naca4424

Re and corresponding polar
# Reynolds number (-)
50000
# Corresponding polar
# AoA 	Cl 	Cd 	Cm
# (deg) 	(-) 	(-) 	(-)
-8     -0.2667     0.13833     -0.0134
-7.75      -0.221     0.13487     -0.0173
-7.5      -0.259     0.13509     -0.0164
-7.25     -0.1934     0.13018     -0.0211
-7     -0.5795     0.09954     -0.0191
-6.75     -0.6346     0.09425     -0.0142
-6.5     -0.6952     0.09625      0.0039
-6.25      -0.779     0.08646      0.0089
-6     -0.8421      0.0781       0.014
-5.75     -0.8813     0.07203      0.0186
-5.5     -0.9115     0.06695      0.0233
-5.25     -0.9085     0.06529      0.0256
-5     -0.8907     0.06538      0.0265
-4.75      -0.882     0.06404      0.0273
-4.5      -0.889     0.06148      0.0303
-4.25     -0.8653     0.06156        0.03
-4     -0.8418      0.0622      0.0294
-3.75     -0.8442     0.06019      0.0326
-3.5     -0.8203     0.06047      0.0321
-3.25     -0.8075     0.06022      0.0335
-3     -0.7994     0.05942      0.0354
-2.75     -0.7769     0.05999      0.0353
-2.5     -0.7639     0.05954      0.0367
-2.25     -0.7418     0.06048      0.0365
-2     -0.7353     0.05955      0.0391
-1.75     -0.7177     0.05987      0.0398
-1.5     -0.6979     0.06058      0.0401
-1.25      -0.689     0.05995      0.0422
-1     -0.6616      0.0613      0.0414
-0.75     -0.6533     0.06124      0.0436
-0.5     -0.6384     0.06104      0.0447
-0.25     -0.6095     0.06301      0.0437
0     -0.6004     0.06269      0.0455
0.25     -0.5867     0.06259      0.0468
0.5     -0.5541     0.06492      0.0453
0.75      -0.547     0.06441      0.0473
1     -0.5274      0.0647      0.0474
1.25     -0.4849     0.06755      0.0439
1.5     -0.4782     0.06681      0.0455
1.75     -0.4504     0.06768      0.0441
2     -0.3979     0.07117      0.0389
2.25     -0.3746     0.07067      0.0367
2.5     -0.2106     0.07932      0.0077
2.75     -0.1449     0.08333      -0.003
3     -0.0328     0.09061     -0.0217
3.25     -0.0151     0.09179     -0.0261
3.5      -0.034        0.09     -0.0213
3.75     -0.0075     0.09247     -0.0226
4     -0.0207     0.09201     -0.0188
4.25     -0.0044     0.09333     -0.0185
4.5      0.0293     0.09734     -0.0207
4.75      0.0098      0.0957     -0.0161
5      0.0371     0.09829     -0.0172
5.25      0.0394     0.09961     -0.0156
5.5      0.0482     0.10045     -0.0145
5.75      0.0849     0.10452     -0.0167
6      0.0671     0.10367      -0.013
6.25      0.0908     0.10598     -0.0136
6.5      0.1158     0.10975     -0.0147
6.75      0.1036     0.10883     -0.0116
7      0.1359     0.11232     -0.0131
7.25      0.1274     0.11287     -0.0109
7.5      0.1424     0.11458     -0.0108
7.75      0.1833     0.11972     -0.0132
8       0.159     0.11818     -0.0096
8.25      0.1835     0.12093     -0.0104
8.5      0.2018     0.12448     -0.0109
8.75       0.194     0.12411      -0.009
9      0.2255     0.12793     -0.0103
9.25      0.2177     0.12885     -0.0089
9.5      0.2289     0.13038     -0.0086
9.75       0.266     0.13538     -0.0104
10       0.2453      0.13464      -0.0082
10.25       0.2627      0.13689      -0.0085

Re and corresponding polar
# Reynolds number (-)
100000
# Corresponding polar
# AoA 	Cl 	Cd 	Cm
# (deg) 	(-) 	(-) 	(-)
-11.75      -0.8389       0.0644      -0.0701
-11.5      -0.9128      0.05996      -0.0631
-11.25      -0.9638      0.05666      -0.0554
-11       -0.857      0.05838      -0.0655
-10.75      -0.8728      0.05674      -0.0609
-10.5      -0.8907      0.05448      -0.0565
-10.25      -0.9128      0.05194      -0.0512
-10      -0.8997      0.05082      -0.0498
-9.75     -0.8692     0.05054     -0.0505
-9.5     -0.8425     0.04938     -0.0514
-9.25     -0.8646      0.0481     -0.0442
-9     -0.8318      0.0471     -0.0456
-8.75     -0.8123     0.04676     -0.0445
-8.5     -0.8026     0.04601      -0.042
-8.25      -0.783     0.04459     -0.0412
-8     -0.7735     0.04438     -0.0384
-7.75     -0.7464     0.04395     -0.0383
-7.5     -0.7199     0.04286     -0.0382
-7.25     -0.7252     0.04263     -0.0332
-7     -0.6897     0.04224     -0.0344
-6.75     -0.6558     0.04142     -0.0352
-6.5     -0.6699     0.04132     -0.0286
-6.25     -0.6293     0.04083     -0.0306
-6     -0.5934     0.04013     -0.0315
-5.75     -0.6126     0.04042     -0.0242
-5.5     -0.5707     0.03974     -0.0263
-5.25     -0.5324     0.03906     -0.0275
-5     -0.5545      0.0397     -0.0199
-4.75     -0.5158     0.03903     -0.0215
-4.5     -0.4759     0.03833     -0.0227
-4.25     -0.4985     0.03921     -0.0153
-4     -0.4628     0.03862     -0.0163
-3.75     -0.4247     0.03798     -0.0172
-3.5     -0.4465     0.03905     -0.0102
-3.25      -0.413     0.03854     -0.0108
-3     -0.3773     0.03795     -0.0112
-2.75     -0.3895     0.03892     -0.0059
-2.5     -0.3673     0.03883     -0.0049
-2.25     -0.3339     0.03828      -0.005
-2     -0.2881     0.03739      -0.007
-1.75     -0.3259     0.03953      0.0014
-1.5     -0.2942     0.03908      0.0013
-1.25     -0.2544     0.03837      0.0004
-1     -0.2828     0.04034      0.0071
-0.75     -0.2576     0.04025      0.0078
-0.5     -0.2206     0.03965      0.0072
-0.25     -0.1761     0.03872      0.0059
0     -0.1297     0.03768      0.0044
0.25     -0.1905     0.04134      0.0142
0.5     -0.1502      0.0406      0.0135
0.75     -0.1035     0.03952      0.0122
1     -0.1607     0.04333      0.0208
1.25     -0.1246      0.0428      0.0206
1.5     -0.0746     0.04171      0.0189
1.75     -0.0152      0.0405      0.0156
2.25      0.2251     0.03713     -0.0115
2.5      0.3643     0.03547     -0.0278
2.75      0.4958     0.03381     -0.0425
3      0.4305     0.03967     -0.0337
3.25      0.5478     0.03746     -0.0455
3.5      0.6744     0.03527     -0.0596
3.75      0.6184     0.04105     -0.0531
4      0.7511     0.03779     -0.0673
4.25      0.8913     0.03512     -0.0843
4.5      1.0338     0.03352     -0.1035
4.75       0.577     0.04711     -0.0388
5      0.6462     0.04404     -0.0419
5.25      0.7373     0.04061     -0.0483
5.5      0.5761     0.05084     -0.0296
5.75      0.6405     0.04775     -0.0317
6      0.7175      0.0444     -0.0355
6.5      0.4011     0.07291     -0.0128
6.75      0.4286      0.0727     -0.0121
7      0.4672      0.0715     -0.0117
7.25       0.414     0.07865      -0.009
7.5      0.4408     0.07856     -0.0083
7.75      0.4808      0.0772     -0.0078
8      0.4297     0.08453     -0.0058
8.25      0.4568     0.08445     -0.0051
8.5       0.499     0.08278     -0.0046
8.75      0.5435     0.08084     -0.0041
